hash,y_pred
g_Backdoor.ASP.Ace.dr,1
g_Backdoor.ASP.Ace.l,1
g_Backdoor.BAT.Comlabat.04,1
g_Backdoor.IRC.Agent.e,1
g_Backdoor.IRC.Agent.f,1
g_Backdoor.IRC.Aladinz.30.a,1
g_Backdoor.IRC.Ataka.a,1
g_Backdoor.IRC.Banned.a,1
g_Backdoor.IRC.Banned.c,1
g_Backdoor.IRC.Belio,1
g_Backdoor.IRC.Bnc.c,1
g_Backdoor.IRC.Bot-gen,1
g_Backdoor.IRC.BotCmd,1
g_Backdoor.IRC.Botva.b,1
g_Backdoor.IRC.Cblade.a,1
g_Backdoor.IRC.Cblade.c,1
g_Backdoor.IRC.Critical,1
g_Backdoor.IRC.Darkirc.40.a,1
g_Backdoor.IRC.Darkirc.a,1
g_Backdoor.IRC.Darkirc.b,1
g_Backdoor.IRC.Darkirc.c,1
g_Backdoor.IRC.Darkirc.d,1
g_Backdoor.IRC.Epoch,1
g_Backdoor.IRC.Flood.dropper,1
g_Backdoor.IRC.Flood.n,1
g_Backdoor.IRC.Floodz.a,1
g_Backdoor.IRC.Floodz.b,1
g_Backdoor.IRC.Fserver,1
g_Backdoor.IRC.Inter,1
g_Backdoor.IRC.K-Ident.20,1
g_Backdoor.IRC.Kaiten.a,1
g_Backdoor.IRC.Logare,1
g_Backdoor.IRC.Philix,1
g_Backdoor.IRC.Predator,1
g_Backdoor.IRC.Shiznat,1
g_Backdoor.IRC.Swarm,1
g_Backdoor.IRC.Webloit,1
g_Backdoor.IRC.Winshe,1
g_Backdoor.IRC.Yobot.10,1
g_Backdoor.IRC.Yobot.11,1
g_Backdoor.MSIL.Agent.b,1
g_Backdoor.MSIL.Agent.d,1
g_Backdoor.MSIL.Agent.g,1
g_Backdoor.MSIL.Agent.m,1
g_Backdoor.MSIL.Sith.a,1
g_Backdoor.Win32.711,1
g_Backdoor.Win32.AF,1
g_Backdoor.Win32.AIMVision.12,1
g_Backdoor.Win32.AIMVision.13,1
g_Backdoor.Win32.AIMVision.14.a,1
g_Backdoor.Win32.AIMVision.14.c,1
g_Backdoor.Win32.AIMVision.14.d,1
g_Backdoor.Win32.AcidShell.11.a,1
g_Backdoor.Win32.AcidShiver.a,1
g_Backdoor.Win32.AcidShiver.b,1
g_Backdoor.Win32.AcidShiver.c,1
g_Backdoor.Win32.AcidShiver.d,1
g_Backdoor.Win32.AcidShiver.e,1
g_Backdoor.Win32.AcidShiver.f,1
g_Backdoor.Win32.Acidhead.10,1
g_Backdoor.Win32.Acidoor.11,1
g_Backdoor.Win32.Acidsena,1
g_Backdoor.Win32.AckCmd,1
g_Backdoor.Win32.Acropolis.10,1
g_Backdoor.Win32.Adbreak.a,1
g_Backdoor.Win32.Adbreak.d,1
g_Backdoor.Win32.Adbreak.f,1
g_Backdoor.Win32.Adbreak.j,1
g_Backdoor.Win32.Adverbot,1
g_Backdoor.Win32.Aebot.c,1
g_Backdoor.Win32.Aebot.d,1
g_Backdoor.Win32.Aebot.k,1
g_Backdoor.Win32.Aebot.o,1
g_Backdoor.Win32.Aebot.r,1
g_Backdoor.Win32.Aebot.s,1
g_Backdoor.Win32.Aeon.10,1
g_Backdoor.Win32.Afcore.a,1
g_Backdoor.Win32.Afcore.aa,1
g_Backdoor.Win32.Afcore.ab,1
g_Backdoor.Win32.Afcore.ad,1
g_Backdoor.Win32.Afcore.af,1
g_Backdoor.Win32.Afcore.aj,1
g_Backdoor.Win32.Afcore.ak,1
g_Backdoor.Win32.Afcore.am,1
g_Backdoor.Win32.Afcore.an,1
g_Backdoor.Win32.Afcore.ap,1
g_Backdoor.Win32.Afcore.av,1
g_Backdoor.Win32.Afcore.ax,1
g_Backdoor.Win32.Afcore.ay,1
g_Backdoor.Win32.Afcore.b,1
g_Backdoor.Win32.Afcore.bp,1
g_Backdoor.Win32.Afcore.bq,1
g_Backdoor.Win32.Afcore.bw,1
g_Backdoor.Win32.Afcore.bx,1
g_Backdoor.Win32.Afcore.by,1
g_Backdoor.Win32.Afcore.c,1
g_Backdoor.Win32.Afcore.cb,1
g_Backdoor.Win32.Afcore.cc,1
g_Backdoor.Win32.Afcore.cd,1
g_Backdoor.Win32.Afcore.ch,1
g_Backdoor.Win32.Afcore.cm,1
g_Backdoor.Win32.Afcore.co,1
g_Backdoor.Win32.Afcore.cq,1
g_Backdoor.Win32.Afcore.cr,1
g_Backdoor.Win32.Afcore.cw,1
g_Backdoor.Win32.Afcore.cz,1
g_Backdoor.Win32.Afcore.d,1
g_Backdoor.Win32.Afcore.dd,1
g_Backdoor.Win32.Afcore.de,1
g_Backdoor.Win32.Afcore.df,1
g_Backdoor.Win32.Afcore.dh,1
