file,mal/ben(1/0)
000c8e05633112ee9836844cb7ce248d.vir,0
0014567367eddb4a7af186b9e83d3928.vir,1
0017b4cc3e584aac69369d06049f5aa6.vir,0
00187eab6f408086d1d739d4dd2cc51b.vir,1
002457f32661433b58deaffb4c5f879f.vir,1
00247b0e333b62d7dd62b0529ea6c6e4.vir,0
0031b6bc78d7f7edd059a3dc3ea1546d.vir,1
0034ea31843f7a04effc659c261a2592.vir,0
0038599a0fc89f9826edd81cd81d5d9d.vir,1
00459c0b14c35b49ae7041dee0f10413.vir,0
004c769bbb498c5da743cf0c14234792.vir,1
00501ead69a8cbe6b5626f744dd2021e.vir,1
0058e917bc95f0fac2976e9a8228ed5b.vir,1
005e6b11d1ae3391e94973c4514e04f9.vir,1
006833735df560d6b4d969fb5505da6b.vir,1
006d2548205995dbed4c0ccdcc6b0f3d.vir,1
006fc036e345e46c3477fefb8217b0bb.vir,0
0070b3a9bd8c3b7e93f44e20ac019b3a.vir,1
00738d94413cee90fd4bf1f79d3102e9.vir,1
007c4bb274ecec65872ca6c8302cb00e.vir,1
00939d082d94c5c80d3cba3c7bba615f.vir,0
0095273520266301d8e214a77c62016e.vir,1
00991fdbffbea37bef34c5de9008f515.vir,1
009cdf3462f72e6a22a1860911940fb0.vir,1
00a5a2aaf88cd19308e7f991b537102a.vir,1
00a725ad5d857ba5bf02701b95b46454.vir,1
00b8c65cd13fc2a7e8bb97110bf3aade.vir,0
00bdaf6dbe2bed4111b1a7ab10b43363.vir,1
00c1b4c9f203fe9f671e774838f4fb13.vir,0
00cc1c313a005fb37019fdf7057586c9.vir,1
00cd6223e08745eb16342688cd328299.vir,0
00cddc258f5a43b49ed7763731d9e2a7.vir,1
00d1fd09b83c0b7f3d800d71d8cee071.vir,1
00d9d53294b4ae712556b203907fe054.vir,1
00f2e0d1ee7891332a49b6b50b09534e.vir,0
010354a29b420fbd53d37897e0503d1b.vir,1
010783dfd46f1cc9d9e97e51bd4e77ea.vir,1
0108ba3a8e1009d22fcb172431a1f533.vir,1
010dd7d04c2ff4c23a0c9dd8f5caca6a.vir,1
010f0042ba7f2ba88bf324c03df45895.vir,1
0112099d799932241c5dfdd3df2008b4.vir,1
01146d8c6d7f543408790e4feda08b4e.vir,1
01148c26580f01f77f49d0681e9c4c84.vir,0
0117af434b3b9f761ba84fd617682094.vir,1
011b6623e353799b165630a0d6a3de1f.vir,1
0120d7769d1bfb52137dd87ca1ba02a2.vir,1
01293d7918dda8b8d3478bd35c204532.vir,0
012e05ea41c4232804957f18304a63a8.vir,1
012f53fe1ed8928774a7ab097af547d6.vir,0
0136eda9dcb6f2335d77ce8a3aef904a.vir,0
01372c1823cde9400bc4aea37b1284cf.vir,1
013b18bcf9b5e83ab4cddc18c3996b8f.vir,1
014938ff54e64d0956f3cf677a596404.vir,0
015cd8644550fdb8c084c40c9ba966c7.vir,0
0164909d6d3cdd7d1539ffdcbe490692.vir,1
016a4ffa2d86aae4fbce99844da361e9.vir,0
016c48afdc497827194fe848fb390b46.vir,1
017867e7758dffb903881a5888dda81a.vir,1
017c5e60837522a950a09dc172b70ad6.vir,1
017e8ce3197d87b2944ce0bd425b12c8.vir,1
0184b3d45f0af9bae518caae5c74e9b3.vir,1
01853f90f1755463b01a19c2a22df4e2.vir,1
018876da87283ede02ade9e44185b144.vir,1
018c43eb9b1c3a547175ae7ee3946aa0.vir,1
01906215698f0ab66821b1fcfd95c5ad.vir,0
01953a56a3ccf94dbe4be35ad705acd6.vir,1
0196463d027bb5a4ca717f23139a3ce2.vir,0
019baaad38429cabbc26cf0a2dc16c66.vir,1
01af6e045c2fdadf36eca7a850d3b4d1.vir,1
01b3efd3ddd9d2a8067fa9f1bd786d2c.vir,0
01b52f53722e54c5c110563704a51445.vir,1
01b6e263c04759cb5d1187ddf2c9bac2.vir,1
01bbcd28d9a46332c284061f45e901b2.vir,1
01bbd205365bdf2d859de76b21c3706f.vir,1
01c2d3dbce1ba027ad3828deb63ce403.vir,1
01c551a0beed4316c38f717c87c9150e.vir,0
01cfd699954f191bf1bf81e5e46fd63a.vir,1
01dd00c6a0cf5911271b065116da6b34.vir,1
01e508da55eb93f83dba9613082e4dfb.vir,1
01e670f9324d45b91b1a623f247fe245.vir,1
01f13473e26f25594b239d5a5e70acc0.vir,1
01ff17d0480c4745f4230e08b8d128ce.vir,1
0204be55893c474ddb5f8579d57408c4.vir,0
0214f72421e8e59f69b6146133cea1e3.vir,1
0221d320939679e08db5d83ccc28b409.vir,1
0222a35d5362a67c01b40d68fefdeab6.vir,1
022608febef92c150d120b4d0204d187.vir,0
0228cbcf06f6ecb8766b4f93320602ae.vir,1
0230afeaeea44ad84c4f5ca589e091cd.vir,0
02371fabc90d0b6bb7e91e8faff328a0.vir,1
024c6cd6304d361ade02d3e41d0338e8.vir,1
025101bad4bfe661c1b87d10eb954a45.vir,0
0251c0239b83011d930437c462d6ead8.vir,0
025886fc89d7b86ebda9b07655998f78.vir,1
025e79d976307d2d82bc467d050a9bfa.vir,0
028f027089dbb71d78cea156791b9eb1.vir,1
029d8d132f6fb0cd4ac8ec06df3c1977.vir,1
029e4d2d4a00305bc489e6c99dcbbcdf.vir,0
02a4aac2e92cb7c9bcb3571530b147c3.vir,0
02a7e4c5a6a1f63dca798cf16f3e0a56.vir,1
02adb29b0d45c624a2d6b4fd4a4a9a11.vir,0
02becc62f2555be4f15954cde23a82b5.vir,1
02c24977392e0faeb090cc825c9e746c.vir,0
02cf9e0ac5026e7ed7fcd557a487db2b.vir,1
02d37af3d8a5ece05f2cd90b2285854c.vir,0
02d3b4f2d0fbcad970ed38a3e5a508b6.vir,1
02df6af750d2597c5bda8f13bc872297.vir,1
02e3d20c32d5013472f7fb93010743ea.vir,0
02ede444bd40fbb3c861ebe82348840c.vir,1
02f93bf85716bb2b322ff4d068b7f59e.vir,0
0309043519bc6d2cb1b97978d8ecdc31.vir,0
0311ba55c83a9146ff340847ff891df2.vir,0
031eab560f826ccc640d86b037831a77.vir,0
0320f33f14917f4163bc90bab24b7669.vir,1
032db1216c5e5383d474103120cbedac.vir,1
03332ab192f447c9dec9db63b5aee522.vir,0
033427de5bb22762126b77ffd66e7186.vir,1
033f363f17e4457ff03a1ce9d18c92ca.vir,1
034070dc027b07dde6b3185f5ad8c8bc.vir,0
0345cb669c3657b8f106335c8e9451b1.vir,1
0345d1e80c0529c65ed2f3052ef5a71d.vir,1
034ab9c18a30e50ccc901ae216545885.vir,1
