hash,result
000278ef08f7bd99a2beca688b2b4143.vir,1
0011b1afad2b1c1988ba9158924a7658.vir,1
001d3eb0eeaa92ee28da5f563fa63609.vir,0
00276763c19d0023058a5e619ebc4ada.vir,1
002dac9fa331704d417645d144c3a6b8.vir,0
002de9454cfe51a1c6e4c1f2c2a3b043.vir,1
0034cbeaf9146356efc65e101fe6e464.vir,1
0041fc4ff79bb41bb97d659a3aa16222.vir,0
004ec830f0c4cdd6a5f465f2b079393b.vir,1
00588fe183661dd32af076c01cf6870c.vir,0
0062e4afe08a8920029aacf6aa3d83d3.vir,1
0068a463b19fa4c611de23824b248347.vir,1
007df2679f03b267f6d4ec1ca29c87db.vir,1
007e43feae74259448de44a53fbdbdfc.vir,1
007fc04635966ca31c6010c4ba256283.vir,1
0080ec867204acd85be41eff07324b53.vir,0
00899b6c752f7118b3265c4958abf0f6.vir,0
008c786f3c188338d7ae9dd8be8838a6.vir,1
00993439f2f4760b0f6748af10ee08b9.vir,1
0099e851fe12221f793583bbd5213b9a.vir,1
00a4193926c75a8164973868eff9740b.vir,1
00af1ecae6a9f1f405c996e6ec902db4.vir,1
00b3fc6c24a0f1a1de33d1930db7e3ef.vir,1
00c072b8b80f25d3a61a5dfc35e7fee4.vir,0
00c4d99523638b124adb9a178ce2c358.vir,1
00cac072f07675b4c40aa6d2a2b053b0.vir,1
00e54e80339e5d48ba7b2d9446496277.vir,1
00e862c4a19602b3db9dd1c5e9576f0b.vir,1
00f1e9a2562ea3de998998bbc7f9eac9.vir,1
00f2111de6f62e52468a9ec46bad49e5.vir,1
00f2ca7072bc6a5c69688521f9f48b7c.vir,1
00f4e972f9aff7dc93931a25ef393d89.vir,0
00fc05bf2a58c34700e7967468f21580.vir,1
00fdf36054f8ff0574dbcd2277b26594.vir,1
00ff45df2b4160f48a39fefd57b7ae53.vir,1
0103af065967a8be25c3e5814514034e.vir,1
0106f8bf022d2609b28c0623909f7da2.vir,1
0109e679e0e8e1882d0d5a1b7cc39a30.vir,0
01152c8a9722a726d30ac9f806ee1b04.vir,1
0120457dad242dd980d28dd05c78b84f.vir,0
0132fbec47a869cb5455cda6dbdbebb0.vir,0
0135269e856556dada699c4aa0b55afe.vir,1
0142c2eafffc05eac42b90f4f4824f8c.vir,0
014a33d4d74e8768c06e6bb9fedec1dc.vir,1
01531346503cb96839db73b0c1b8591e.vir,1
