hash,value
0008c9f679fb4459435b58eb02720e08764c5b882f1230dd66bd69ff8dac0ee8,1
000b53e07befbe136b3593641797bf982a399446480821384ff0f9a2107b1693,1
001bf57ded55236e2f1f0bbf7bf313b5397d955a9ce80009b2ac61b3f84e5544,1
001e3ba10b0746a4efd810f34fd3d24da5d2a08b4c60b8fcd7a811d843aec9c9,1
002325e6f81f5b7ab8f8dd2ed87fba19813e268fde1604387cff7fb8eea70330,1
002b5b9a2dd9f67bf43a312c44a2d91cbd02d01395d7a26a81f89ecc53864233,1
002c5c68f8e01bb49e0e637bb8e3b7e9bb1db74124e70cec801f582856fc25b1,1
002c9e0578a8b76f626e59b755a8aac18b5d048f1cc76e2c12f68bc3dd18b124,1
00361c34360ab88a3cea8deac81c16057d11d4748e5e658eaceb9888d04b4749,1
004cc8429fcb322e0acf0aadc15313c08cd4f2f56d77229b0f61a6e63d3c60af,1
004d44f0eb106b2baa1004a712130c8072d8960bf865f698b53184678e25ccf4,0
004e10ef5b9eb2cb70a3ea171e847b92a19d487ca97e443186803f73daf5423e,0
005ecff2b6bf581e606ccb1148b0a21886a572e7989fb9f77e8feea98068d8b7,1
00646bd86cd141e73c6e4253921b5e7f0b66a9c4094ac2963416e74a65b1cf6e,1
0067b722606e5742dfa241ea0684189ab4989ab495328a327569027577f8592c,1
00804bc8ec2ddf5777ba5b04e1809185deb0b59adc7beda9b8bedb84353fd871,1
008aec32e5938562ff3193f7af8eef68ccc59fa625c226d2c40066b9ae40d619,0
008c58fe99081e9777241cbe793ce61062f10a37b18edae4bda7912acc7d8e06,1
0090800ed7b87226d5b57b95b073366f18f29b7e9a31e28f82366e22c8573cad,1
00960b96f4f09722349ad7fd5c1b59e9c360b0eb3398a5ea8ebddc009c09b865,1
00a0805e135f9fb3c4ff190b4c2fa00ed2da0283ee60ffb27d233e8437e353ab,1
00a82fceeb645ff6313e9e182c275c83cdb02a545c2b16e0f9a25b6e208a20ac,1
00c56dff20aadfebdde69d7bb268398145ddfcfa3617f4ad8df9ad2902e58be5,1
00c601cb68e33637ff9da1e85bb5410410a4437cfc7367ac3405ef1423d04291,1
00c6b0e7911d1f47a494b8e27d5facf54a99215b25ada2b30a9c4bfa92fbb0fb,0
00d85bcd9463461d8ef29f2a1700cbb6df1514eac0e3188fb3102003b55b2c02,1
00dd210e3e18d61dd5a8f7dce2c064d0258b03ef612e0fab4803abc92c48325d,0
00eace2839ca7a39c9ce90b45477a2490ef5d83f7929ffb8bff26b84f160a297,1
00ee54a99b3c75bfa2004e5a8c80d55e6e87e98d6f84edf940e4d38f5a314ade,1
00f3dcd235ef402440820d9fdd28c81f928109e44fcdf3e924bcb2878a9aa92f,1
00f746c57e49fa507baa4937e69b547696ddbcb30b794575b9bfa27b8cac7ce8,1
00faf28c81e6e9dec81e8b19a478e73ab5599b8d38ca7003df1d65711347c188,0
00fec4c1b44bc9dc9a14ef54b417a8b3f76e8e939f46613eafb5ea2e94ef1fc4,0
01019b0ffb362af95776b573b9778d16c43480f497f67cbefc08af66c0654eba,1
0101d83f5198361a21d17cfd3c0a5375e0cd11756c2f743d424f781bdf487fbe,1
01114ac006c47bc4fff3a407755233a806089c88c2021d74f8c6790962a89f27,1
01157c3e056d2040250598bc9b4aac8b4ad8b7f2c595381d320290dd79b8317d,1
0116eea477a5f5c181bf816953296c1f09cd1bf828f89f970c77332dd84ab518,0
0119a0b93eb93d5ba64a951e16d5a975899eaec8e50ea4c4951e1245c3ee2c06,0
011d2c000fe8a8ab233eeae3f5b5707467595dda17ce7475f8ede761948631d7,0
01271d038a4e1ca22ea99a9b8d380e771eb14c46e6fd2297564e0e434174c00f,1
0127f3ba8f6e74c537e9fb0186de3ce42249bd1914fb656dcc3c7f245844e2de,0
01299e1ced15e4c342ed95069322e3b99f2e43b6c80a867e95d6196df3e200bf,1
012f7574e8cc87733fbd987450a62a08bc7f7e76c7201bbe826970c4e6645dce,1
0133e5873fc365d1d3563fe80a6cba729b549c61e07f79e60b6f4fd4df03d4c8,0
0138a8eabec0f31f24f146f1f63b20e12d89e9ea34e52474ad7107d03abaecca,0
014d459f9540a4fa15d50a4412387ad3ddb69f333726afe43ba11bfffd3eb99e,1
014f177f6542735538783f639aff9f46ab4879544d6ddfed327ffed7313e4a60,1
01590495590f114c5d108c96b86bad616534e13c07e75037e35b2b7ec9f1f62e,1
015a4338918b8fbe5295e431cb42a2688eeb94acd8206e8cc4d5d0a0ed95f74b,1
015f68131e14117e77673f134a4fbfc0a7b80e118eb98804055dbba70926bf8c,1
01630abb94b6fded3504e4c1f6b124950fe4d4c8481c46f04363166e52ec6b7e,1
016400d165f15af823e1a8a7984f6af725447bc204f39df88fab012614ab070b,1
0166a7769cdc14f26eb7603ade99ca946010aeb75ff96769dc5ed415faa9b774,1
016bf81b8cdc4fcc9ac04042ac139e89d3ad2484dc76f42085582ce957efe536,1
01715d8608958d3846744c1e332cb126277fc0f183736c025028eef4b60cd83d,1
018fd2e2415f1099f4c121b6e73af1f4a23e3a6ab3dbd4a318238dc0b8121c62,0
0190059d85fd980ff51a334aa5ea175e18fb67fc306bcff126384a2f41a8dca1,1
01906afc1e37997ccf489bf90f37f867b85cc35c95e7447ad91cf6974f4febbe,0
0191b01656cfab08354143665996d104b653805399b03fcbc05fdab35229bc70,0
01935b65e1e9ea46fc44736708e578055a20ad08c0ef93e11f8e44cc3f2e67c7,1
01988715b2e1184718f4e3e6b79a242758eece21c09ef4578d3219cbfd1c4ddf,0
019b8846696c38c0784a83e624dfbdf6b19a421f64a307cdfb66e276752a212e,0
01a3f6b841b8d2ced49f7144752f4b0e858ecd664456f3d5de86e36c4d226994,1
01a773672821e4b58238cdf4e0040c3e1dc5e139dffcef990bc341fd7272d971,1
01a9257013cfa4cad9c10f6e51f0f3c140ed226d7bf887a70d3c4d1d7cb9a832,1
01aa55a89b1daf73919d9e2e8d4570be3a1f5df44d9b085d097b75a153e93a56,1
01b33e89cd30d55c4a616f37b8c4c0ba3e52f577fef7ad2302a3aa56ba30239a,1
01b3cc9ed38e2e2c428650661887a4ca2b1d3ac4d4e3bba3572b41b83d5f3c67,1
01c8cc07a83ffd7ac9ee008685eb360c9934919e86847c50c8843807b9d9c196,1
01cbd3a4d1f4720d4e95603768f08be7eaab4ed01e76571020397225e8bb63ff,1
01e552f1ea909cc201ed8914ad727dca7748c24bd9322c6670dbedda6051d1ff,0
01e555a8d7bd82bc65aae04bb3fd5ee646abf521f1fd590b80dc79f35a1c307c,1
01e8ccdd92f9a49d43e5fce5dbd3560296d36757f88d4bb06ebd1fac2d9510a1,1
01eedb27ca48d82c6e5b3c4283f2bcfc55ab2c9eb60ff9701f232597cc0f62bb,1
01f2eee32e8352764f21c03abb0e7e8d38192f8889e9dd5461381b96331f4620,1
01f93be01f9e66cbb7a3f945cecb30e73d2eb0abb0ebedbe46a6b44ce5d3f3c1,1
01fa391964c88ef9d72eeebc157cc9e3e97e85cd4a5b0bd2661d14098d262db6,1
01fd97e6bd2c4872b00fb4f72d4749bf16f7cc3bf945214b0ceca36acde86c8c,0
02016883c85348c017207d1f8643752625e37ebbfece21dc1c4493ea9b797aa4,1
022f620a938c681b650702fb406c53f7267e5678028a9ad1461f4852405f7a6b,1
023134e110ba47cf7db6d04a634169127b6cfdf4e43a27b987ad5a2bc55507e5,1
0231ca33b03d132862034853de35aa87c8a79fc1b7e1f15ac73ab50f7c5f5fec,1
0232a1b1877a9e16f3e24ce5add9e3112597f67870fabc96ed63b1cfa978d4d1,1
0232fe4b3256a6a4700de482e5e9074baf4548d7604cf4404182be73353ee32f,1
